epoch,log_dir,log_name,test_loss,train_loss,val_loss
39,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00091625,0.00086213,0.0009395
40,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00087394,0.00085993,0.00089983
41,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00090094,0.00085869,0.00092683
42,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00101306,0.00085778,0.00103676
43,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00091648,0.00085585,0.00093973
44,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0010984,0.00085661,0.0011257
45,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0010091,0.00085542,0.00103234
46,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00091742,0.00085394,0.0009411
47,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00089707,0.00084599,0.00091893
48,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.0008605,0.00084476,0.00088256
49,logs/heat_no_attr_case500_no_physics,heat_no_attr_case500_no_physics,0.00089721,0.00084415,0.00091945
