epoch,log_dir,log_name,test_loss,train_loss,val_loss
6,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0115588,0.00655818,0.01161372
7,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0075711,0.00597037,0.00762534
8,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00782605,0.00581938,0.00788641
9,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00929152,0.00562905,0.00935262
10,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.01218818,0.00590735,0.01224748
11,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00669717,0.00520211,0.00674732
12,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00768218,0.00481289,0.00773944
13,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.005742,0.00466694,0.00579538
14,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.01136542,0.00460236,0.01140803
15,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00635186,0.00439999,0.00640368
16,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00713391,0.00427682,0.0071809
17,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0073646,0.00452848,0.00742931
18,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0080618,0.00422467,0.00811583
19,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00551849,0.00381633,0.00557202
20,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00919432,0.00450373,0.00925433
21,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00814941,0.00433631,0.00819808
22,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00475962,0.00407531,0.00481357
23,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00600581,0.00381367,0.00604997
24,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00653942,0.00359121,0.00660257
25,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00792867,0.0036793,0.0079776
26,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00621238,0.00358314,0.00627853
27,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00541067,0.00343842,0.00545075
28,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0053239,0.00331953,0.0053674
29,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00371015,0.00306992,0.00375072
30,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00441194,0.00290738,0.00444877
31,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00416831,0.00271469,0.00421753
32,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0029345,0.00272745,0.00297672
33,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00502843,0.00265532,0.0050369
34,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0049951,0.00255368,0.00502508
35,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00615565,0.002657,0.00621085
36,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00512874,0.00269433,0.00518836
37,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00374774,0.00248063,0.0037918
38,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.01239698,0.0024542,0.01241873
39,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00246738,0.00252816,0.00250372
40,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00296502,0.00230226,0.00298758
41,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00229745,0.00226817,0.00233557
42,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00279904,0.00225193,0.00284719
43,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00292443,0.00223064,0.00297338
44,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0039594,0.00222004,0.00398156
45,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00350417,0.00223163,0.00353905
46,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00286623,0.00218677,0.00290815
47,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00616464,0.00239597,0.00622929
48,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.00228068,0.00216975,0.0023153
49,logs/heat_attr_case500_AL,heat_attr_case500_AL,0.0022162,0.00211417,0.0022505
0,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.09370385,0.40898386,0.09375034
1,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00945596,0.01743429,0.00952546
2,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00953148,0.00869875,0.00959655
3,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.0106723,0.00817771,0.01074303
4,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00854216,0.0078135,0.00860891
5,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00940024,0.00751027,0.00946259
6,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.0137558,0.00736721,0.01381846
7,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.01136292,0.00738451,0.01142533
8,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.01342092,0.00685206,0.01347601
9,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.0088654,0.00653682,0.00891957
10,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00752356,0.0064387,0.00758015
11,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.05303244,0.00589295,0.05307076
12,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.01039532,0.0060233,0.01044583
