epoch,log_dir,log_name,seconds
40,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.904562
41,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.779107
42,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.797427
43,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.898109
44,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.895055
45,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.89471
46,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.784864
47,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.784899
48,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.903573
49,logs/heat_attr_case500_AL,heat_attr_case500_AL,9.907695
0,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,13.872211
1,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.952348
2,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.134612
3,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.241355
4,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.197062
5,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.797549
6,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.51005
7,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.970396
8,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.342507
9,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.256284
10,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.147406
11,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.773764
12,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.478064
13,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.115448
14,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.143197
15,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.158588
16,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.805835
17,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.090148
18,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.10902
19,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.146719
20,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.171843
21,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.783454
22,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.092921
23,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.147099
24,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.140749
25,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.206974
26,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.191506
27,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.807862
28,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.145445
29,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.145056
30,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.188179
31,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,10.191097
32,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,9.796495
